"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"01/01/2010","5 Braemor Drive, Churchtown, Co.Dublin","","Dublin","€343,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","1 Meadow Avenue, Dundrum, Dublin 14","","Dublin","€438,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","12 Sallymount Avenue, Ranelagh","","Dublin","€425,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","206 Philipsburgh Avenue, Marino, Dublin 3","","Dublin","€430,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","22 Laverna Way, Castleknock, Dublin 15","","Dublin","€355,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","23 Elton Park, Sandycove","","Dublin","€1,800,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","29 Carysfort Woods, Blackrock","","Dublin","€547,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","33 RAGIAN ROAD, BALLSBRIDGE, DUBLIN 4","","Dublin","€700,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","44 Allen Park Road, Stillorgan, County Dublin","","Dublin","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","49 ballynakelly green, newcastle","","Dublin","€499,600.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"04/01/2010","5 Clancy Road, Finglas, Dublin 11","","Dublin","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","54., brides glen avenue, swords","","Dublin","€337,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","90 Suncroft Drive, Tallaght, Dublin 24","","Dublin","€147,950.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","The Mews, 11A Wyckham Park Road, Dundrum","Dublin 14","Dublin","€345,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/06/2012","1 Clarence Mangan Road, The Tenters, South Circular Road","","Dublin","¿160,000.00","No","Second-Hand Dwelling house /Apartment",""
